wavelength,holo_absorbance,apo_absorbance
240,0.8630731945368281,0.45578713098737317
241,0.6791184535825978,0.40402833778147074
242,0.5754427067937788,0.365380420261012
243,0.5209326843688582,0.33769224004574855
244,0.48676269931990895,0.31881265875543235
245,0.46217920630849507,0.30659053800981495
246,0.44500829522775315,0.2988747394286479
247,0.43312793626638263,0.29351412463168297
248,0.42455009475286876,0.2885386871715587
249,0.4184389991114914,0.2835360266608782
250,0.4145462919971882,0.2788877974456819
251,0.41262829800420114,0.27498198282332376
252,0.41244134172677255,0.27220656609115784
253,0.4137417477591446,0.2709493412900749
254,0.4162858406955594,0.27143624450681786
255,0.4198500547022965,0.2734362706368005
256,0.42431638506116925,0.2766383530585616
257,0.4296013445413971,0.28073142515064003
258,0.43562146549259967,0.2854044202915745
259,0.44229328026439685,0.2903462718599037
260,0.4495333212064082,0.29524591323416655
261,0.4572581206682535,0.29982685762469524
262,0.4653842109995524,0.3040169479119299
263,0.47382812079655384,0.3078188086886484
264,0.48247717819857144,0.3112351763628791
265,0.4911190744878491,0.3142687873426504
266,0.4995202679340621,0.31692237803599066
267,0.5074472168068855,0.31919868485092834
268,0.5146663793759946,0.3211006125371078
269,0.5209442139110648,0.32265840031409193
270,0.5260690103660907,0.32395960772173354
271,0.5301407924055483,0.325099011946677
272,0.5334921416783625,0.32617139017556657
273,0.536461208966344,0.3272715195950467
274,0.5393861450513036,0.32849417739176134
275,0.5426051007150521,0.3299341407523551
276,0.5464562267394003,0.3316857992032074
277,0.5512776739061591,0.33372002758417785
278,0.5571578951829848,0.33570836985379715
279,0.5630690766763835,0.33727791141186436
280,0.5676715947736385,0.33805573765817876
281,0.5696258116552841,0.33766893399253967
282,0.5675920895018551,0.3357445858147463
283,0.560230790493886,0.331993109353712
284,0.5462022768119112,0.32690211127389507
285,0.5246786522479177,0.32138248961211235
286,0.4998197012155664,0.31634939289462605
287,0.47859855748874625,0.3127053831690156
288,0.4663903856266204,0.3103880236949652
289,0.4597169654554007,0.30770410384201574
290,0.45210784679704513,0.30280306954963376
291,0.43709023412271114,0.29383436675728597
292,0.4098339741382434,0.27956855303221584
293,0.3751670646952206,0.2624281010408701
294,0.3412914457958153,0.2460987147273483
295,0.3123198651937901,0.23236499470990285
296,0.28778840694326996,0.22088430177958193
297,0.2669919279529032,0.21120187400552623
298,0.24922528700230473,0.20286294945687636
299,0.23386704029686667,0.1954317779952228
300,0.2206026769337695,0.1887293278798516
301,0.20918802567491057,0.18276089205769963
302,0.19937891528218704,0.17753579656850466
303,0.1909311745174962,0.17306336745200446
304,0.18362265536541264,0.16935293074793678
305,0.17739635244187765,0.16640790556437068
306,0.17227021834792186,0.1641388955450147
307,0.16826257989095442,0.16238271892466413
308,0.1653917638783845,0.16097415594247882
309,0.16367152279185262,0.1597479868376187
310,0.16303569408654223,0.15853899184924372
311,0.16335014608201773,0.15718206665674594
312,0.16447858160116663,0.15556693854038042
313,0.16628470346687638,0.15372570091290017
314,0.1686322145020343,0.15171325379114153
315,0.17138481752952794,0.14958449719194086
316,0.1744062153722447,0.14739433113213432
317,0.1775601108530719,0.14519765562855827
318,0.1807102067948971,0.14304937069804902
319,0.18372374973176323,0.1410043763574428
320,0.1865504234977851,0.13911718001816056
321,0.18922287032174978,0.1374092626824008
322,0.19177738036381728,0.1358445672620145
323,0.19425024378414768,0.13438126296453837
324,0.19667775074290098,0.13297751899750931
325,0.19909619140023713,0.13159150456846408
326,0.20154185591631624,0.13018138888493946
327,0.20405103445129816,0.12870534115447224
328,0.2066600171653431,0.1271215305845992
329,0.20940070016657295,0.1253881268075406
330,0.21227598883385917,0.1234795287245859
331,0.21527704301799772,0.1214293647801263
332,0.21839498921457734,0.11928477150925398
333,0.22162095391918718,0.11709288544706109
334,0.22494606362741623,0.11490084312863975
335,0.2283614448348534,0.11275578108908217
336,0.23185822403708772,0.1107048358634804
337,0.23542752772970826,0.10879514398692669
338,0.23906080458401216,0.1070738419945131
339,0.2427508755245214,0.10558806642133187
340,0.24649092676329132,0.10438495380247509
341,0.2502741445155268,0.10350100982155744
342,0.2540937149964327,0.1028827765747319
343,0.25794282442121375,0.10243153936388484
344,0.2618146590050748,0.10204824010765269
345,0.2657024049632206,0.101633820724672
346,0.2695992485108559,0.10108922313357929
347,0.2734983758631857,0.1003165257166861
348,0.2773929732354147,0.09929462209781716
349,0.28127622684274767,0.09812671454664446
350,0.28513842086838714,0.09692731845962435
351,0.28895422764308226,0.09578541225482806
352,0.2926930925706311,0.09471333950274814
353,0.29632445730399976,0.09370912827473593
354,0.2998177634961543,0.09277080664214295
355,0.30314245280006075,0.09189640267632068
356,0.306267966868685,0.09108394444862063
357,0.3091637473549934,0.09033146003039419
358,0.31179923591195186,0.0896367276944872
359,0.3141442229473197,0.088990077284777
360,0.31621523581060873,0.08837329970373883
361,0.31812212104441295,0.08776771667566584
362,0.3199858115104525,0.08715464992485099
363,0.3219272400704473,0.08651542117558733
364,0.32406733958611733,0.0858322713107887
365,0.3265270429191827,0.08509398706249399
366,0.32942728293136336,0.08429219497850209
