time A B
0.0 1.0 0.0
0.05025125628140704 0.9515959334278487 0.04840406657215135
0.10050251256281408 0.9067062973467792 0.09329370265322079
0.15075376884422112 0.8650759226656115 0.1349240773343885
0.20100502512562815 0.8264681671256799 0.17353183287432006
0.2512562814070352 0.7906635701397828 0.20933642986021717
0.30150753768844224 0.7574586052980271 0.2425413947019729
0.35175879396984927 0.7266645234493609 0.27333547655063906
0.4020100502512563 0.6981062797824414 0.30189372021755856
0.45226130653266333 0.6716215388069777 0.3283784611930223
0.5025125628140704 0.6470597515794979 0.3529402484205021
0.5527638190954774 0.6242812999281531 0.37571870007184693
0.6030150753768845 0.6031567028120215 0.3968432971879785
0.6532663316582915 0.5835658803035686 0.4164341196964314
0.7035175879396985 0.5653974710104692 0.4346025289895308
0.7537688442211056 0.5485481990567698 0.45145180094323023
0.8040201005025126 0.5329222870250792 0.46707771297492084
0.8542713567839196 0.5184309115227372 0.48156908847726276
0.9045226130653267 0.5049916982772014 0.49500830172279864
0.9547738693467337 0.49252825389058696 0.507471746109413
1.0050251256281408 0.48096973159168444 0.5190302684083156
1.0552763819095479 0.4702504285170297 0.5297495714829703
1.105527638190955 0.46030941223182387 0.5396905877681761
1.155778894472362 0.4510901743677139 0.5489098256322861
1.206030150753769 0.44254030940858236 0.5574596905914176
1.256281407035176 0.43461121679844783 0.5653887832015522
1.306532663316583 0.4272578246781499 0.5727421753218501
1.35678391959799 0.420438333680435 0.5795616663195651
1.407035175879397 0.4141139793270824 0.5858860206729176
1.4572864321608041 0.40824881167744814 0.5917511883225519
1.5075376884422111 0.4028094909758685 0.5971905090241315
1.5577889447236182 0.39776509813630867 0.6022349018636913
1.6080402010050252 0.3930869589869821 0.6069130410130179
1.6582914572864322 0.3887484812758822 0.6112515187241179
1.7085427135678393 0.38472500351070704 0.615274996489293
1.7587939698492463 0.38099365477392755 0.6190063452260725
1.8090452261306533 0.3775332247161366 0.6224667752838634
1.8592964824120604 0.37432404298867406 0.625675957011326
1.9095477386934674 0.3713478674301787 0.6286521325698213
1.9597989949748744 0.3685877803714792 0.6314122196285208
2.0100502512562817 0.36602809246938106 0.6339719075306189
2.0603015075376887 0.3636542535227085 0.6363457464772915
2.1105527638190957 0.3614527697636454 0.6385472302363546
2.1608040201005028 0.35941112715422907 0.6405888728457709
2.21105527638191 0.35751772025198686 0.6424822797480132
2.261306532663317 0.3557617862403611 0.644238213759639
2.311557788944724 0.3541333437489279 0.6458666562510721
2.361809045226131 0.3526231361156411 0.6473768638843589
2.412060301507538 0.3512225787685833 0.6487774212314167
2.462311557788945 0.34992371042812326 0.6500762895718768
2.512562814070352 0.3487191478520933 0.6512808521479068
2.562814070351759 0.34760204386674404 0.652397956133256
2.613065326633166 0.3465660484449071 0.6534339515550929
2.663316582914573 0.3456052726101207 0.6543947273898794
2.71356783919598 0.3447142549615362 0.6552857450384638
2.763819095477387 0.3438879306293202 0.6561120693706798
2.814070351758794 0.34312160248408446 0.6568783975159156
2.864321608040201 0.3424109144366858 0.6575890855633142
2.9145728643216082 0.3417518266766246 0.6582481733233754
2.9648241206030153 0.34114059270828584 0.6588594072917142
3.0150753768844223 0.34057373805448893 0.6594262619455111
3.0653266331658293 0.3400480405062907 0.6599519594937093
3.1155778894472363 0.3395605118067722 0.6604394881932278
3.1658291457286434 0.33910838066469473 0.6608916193353053
3.2160804020100504 0.3386890770014679 0.6613109229985321
3.2663316582914574 0.3383002173418843 0.6616997826581157
3.3165829145728645 0.3379395912655752 0.6620604087344248
